review_id,reviewer_id,reviewed_at,case_id,verdict,label_quality,model_error_type,confidence,source_ref,license_scope,review_status,reviewer_notes
review_id_value_0,synthetic_validation_fixture_reviewer,2026-03-24T13:13:35.688901+00:00,case_id_value_0,label_valid,valid,not_applicable,0.82,file:raw_sources/scientist_reviews_synthetic_source.txt#sha256=a928da8882daaeff7443374d607eef325e6f17d06229c11e1608c10ffb708ff3,internal_research_validation,reviewed,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
review_id_value_1,synthetic_validation_fixture_reviewer,2026-03-25T13:13:35.688901+00:00,case_id_value_1,label_valid,valid,not_applicable,0.82,file:raw_sources/scientist_reviews_synthetic_source.txt#sha256=a928da8882daaeff7443374d607eef325e6f17d06229c11e1608c10ffb708ff3,internal_research_validation,reviewed,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
review_id_value_2,synthetic_validation_fixture_reviewer,2026-03-26T13:13:35.688901+00:00,case_id_value_2,label_valid,valid,not_applicable,0.82,file:raw_sources/scientist_reviews_synthetic_source.txt#sha256=a928da8882daaeff7443374d607eef325e6f17d06229c11e1608c10ffb708ff3,internal_research_validation,reviewed,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
review_id_value_3,synthetic_validation_fixture_reviewer,2026-03-27T13:13:35.688901+00:00,case_id_value_3,label_valid,valid,not_applicable,0.82,file:raw_sources/scientist_reviews_synthetic_source.txt#sha256=a928da8882daaeff7443374d607eef325e6f17d06229c11e1608c10ffb708ff3,internal_research_validation,reviewed,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
review_id_value_4,synthetic_validation_fixture_reviewer,2026-03-28T13:13:35.688901+00:00,case_id_value_4,label_valid,valid,not_applicable,0.82,file:raw_sources/scientist_reviews_synthetic_source.txt#sha256=a928da8882daaeff7443374d607eef325e6f17d06229c11e1608c10ffb708ff3,internal_research_validation,reviewed,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
review_id_value_5,synthetic_validation_fixture_reviewer,2026-03-29T13:13:35.688901+00:00,case_id_value_5,label_valid,valid,not_applicable,0.82,file:raw_sources/scientist_reviews_synthetic_source.txt#sha256=a928da8882daaeff7443374d607eef325e6f17d06229c11e1608c10ffb708ff3,internal_research_validation,reviewed,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
review_id_value_6,synthetic_validation_fixture_reviewer,2026-03-30T13:13:35.688901+00:00,case_id_value_6,label_valid,valid,not_applicable,0.82,file:raw_sources/scientist_reviews_synthetic_source.txt#sha256=a928da8882daaeff7443374d607eef325e6f17d06229c11e1608c10ffb708ff3,internal_research_validation,reviewed,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
review_id_value_7,synthetic_validation_fixture_reviewer,2026-03-31T13:13:35.688901+00:00,case_id_value_7,label_valid,valid,not_applicable,0.82,file:raw_sources/scientist_reviews_synthetic_source.txt#sha256=a928da8882daaeff7443374d607eef325e6f17d06229c11e1608c10ffb708ff3,internal_research_validation,reviewed,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
review_id_value_8,synthetic_validation_fixture_reviewer,2026-04-01T13:13:35.688901+00:00,case_id_value_8,label_valid,valid,not_applicable,0.82,file:raw_sources/scientist_reviews_synthetic_source.txt#sha256=a928da8882daaeff7443374d607eef325e6f17d06229c11e1608c10ffb708ff3,internal_research_validation,reviewed,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
review_id_value_9,synthetic_validation_fixture_reviewer,2026-04-02T13:13:35.688901+00:00,case_id_value_9,label_valid,valid,not_applicable,0.82,file:raw_sources/scientist_reviews_synthetic_source.txt#sha256=a928da8882daaeff7443374d607eef325e6f17d06229c11e1608c10ffb708ff3,internal_research_validation,reviewed,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
review_id_value_10,synthetic_validation_fixture_reviewer,2026-04-03T13:13:35.688901+00:00,case_id_value_10,label_valid,valid,not_applicable,0.82,file:raw_sources/scientist_reviews_synthetic_source.txt#sha256=a928da8882daaeff7443374d607eef325e6f17d06229c11e1608c10ffb708ff3,internal_research_validation,reviewed,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
review_id_value_11,synthetic_validation_fixture_reviewer,2026-04-04T13:13:35.688901+00:00,case_id_value_11,label_valid,valid,not_applicable,0.82,file:raw_sources/scientist_reviews_synthetic_source.txt#sha256=a928da8882daaeff7443374d607eef325e6f17d06229c11e1608c10ffb708ff3,internal_research_validation,reviewed,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
